 102.01336  86.08453  187594.81 757509.03  3565884.41  4322206.96  2.909 -68363299.50210  86.12298 3378289.60  1   -7.74   10.00   14.91    2.97    2.97  41.778   27.656 .011070   104     26  112.2   10    8  505342 3 4  500608 53248 
  99.98817  85.99606  185795.18 754720.28  3564090.63  4317735.82  2.775 -68363296.90202  86.03539 3378295.45  3   -1.88  416.00   14.87  303.29  293.51  43.259  347.307 .133272   104     22   45.0   60   41  503477 4 2  500608 53248 
  88.46675  85.28396  155552.06 753935.75  3533895.05  4287352.07  1.848 -68363279.10135  85.33062 3378342.99  1   -7.73   10.00   14.89    2.99    2.99  42.529   27.743 .010806   105     22  114.5   10    8  502958 4 4  500608 53248 
  88.12049  85.25560  126533.78 781422.53  3504878.71  4285826.15  1.801 -68363278.20114  85.30292 3378344.94  3  -20.40  169.00   14.89   75.05   75.05  42.529  123.461 .051659   105     32   44.3   34   22  521303 1 1  500608 53248 
  86.83246  85.14526  144363.82 759787.62  3522716.39  4282101.49  1.685 -68363276.00120  85.19343 3378352.57  4  -69.11  243.00   14.88   84.50   84.50  42.829  156.307 .061399   105     26   33.4   49   21  506903 2 3  500608 53248 
  72.88253  83.26126   89466.68 754261.27  3467966.28  4222216.43   .235 -68363240.09988  83.32888 3378499.60  3  -23.33  130.00   14.92   54.23   54.23  41.481  101.765 .040674   108     30   46.5   30   19  503186 1 3  500608 53248 
  68.65681  82.26100   33274.38 777118.57  3411866.34  4188969.40   .288 -68363219.69896  82.33968 3378591.96  3  -28.19   65.00   14.89   21.00   21.00  42.529   63.133 .026126   109     20   45.8   23   14  518437 2 2  500608 53248 
  66.20294  81.52105   12223.49 774504.31  3390890.46  4165379.39   .288 -68363204.99842  81.60758 3378666.97  4  -32.69  729.00   14.90  372.65  293.99  42.074  410.404 .170521   110     11   34.3   91   39  516696 4 4  500608 53248 
  65.77336  81.37599   -3590.77 785845.90  3375091.57  4160921.61   .290 -68363202.19824  81.46436 3378682.34  1   -6.81   22.23   14.88    6.02    6.02  42.829   82.685 .034745   111     22  123.7   26   15  524245 2 3  500608 53248 
  65.75840  81.37083   -3595.26 785690.86  3375087.63  4160762.62   .290 -68363202.09824  81.45926 3378682.89  1   -7.11   18.33   14.89    5.05    5.05  42.529   65.555 .027730   111     22  123.7   21   14  524142 2 4  500608 53248 
  65.74345  81.36568   -3600.46 785536.55  3375082.98  4160603.65   .291 -68363201.99823  81.45415 3378683.44  1   -6.53   26.13   14.91    7.41    7.41  41.930   87.386 .037478   111     22  123.7   27   16  524039 1 4  500608 53248 
  65.72852  81.36052   -3606.41 785383.00  3375077.58  4160444.69   .291 -68363201.89823  81.44905 3378684.00  1   -6.23   30.03   14.90    8.87    8.87  42.230   92.186 .039241   111     22  123.7   28   17  523936 1 3  500608 53248 
  65.71361  81.35536   -3610.36 785227.46  3375074.19  4160285.75   .291 -68363201.79823  81.44394 3378684.55  1   -6.82   22.23   14.90    6.62    6.62  42.230   67.254 .028617   111     22  123.7   21   15  523833 1 4  500608 53248 
  65.69871  81.35020   -3615.99 785073.62  3375069.11  4160126.82   .291 -68363201.69822  81.43883 3378685.10  1   -6.81   22.23   14.87    7.18    7.18  43.128   58.309 .024284   111     22  123.7   18   15  523730 1 3  500608 53248 
  65.68382  81.34504   -3621.35 784919.53  3375064.30  4159967.91   .291 -68363201.59822  81.43373 3378685.65  1   -5.35   41.73   14.87   12.82    9.61  43.128  118.995 .049539   111     22  123.7   35   20  523626 1 2  500608 53248 
  65.66896  81.33988   -3627.31 784766.05  3375058.90  4159809.01   .291 -68363201.49822  81.42862 3378686.20  1   -5.94   33.93   14.89   10.80   10.80  42.529   91.150 .038466   111     22  123.7   27   18  523524 1 2  500608 53248 
  65.65410  81.33472   -3634.72 784614.04  3375052.03  4159650.12   .292 -68363201.39822  81.42350 3378686.76  1   -6.82   22.23   14.89    6.12    6.12  42.529   79.569 .033566   111     22  123.7   25   15  523423 1 1  500608 53248 
  65.63927  81.32955   -3641.15 784461.06  3375046.16  4159491.26   .292 -68363201.29821  81.41839 3378687.31  1   -6.82   22.23   14.91    5.85    5.85  41.930   88.946 .038043   111     22  123.7   28   15  523321 4 4  500608 53248 
  65.62444  81.32439   -3649.56 784310.07  3375038.30  4159332.40   .292 -68363201.19821  81.41327 3378687.87  1   -6.81   22.23   14.88    5.93    5.93  42.829   85.811 .035918   111     24  123.7   27   15  523221 1 4  500608 53248 
  65.60964  81.31922   -3654.48 784155.59  3375033.95  4159173.56   .292 -68363201.09821  81.40816 3378688.42  1   -6.23   30.03   14.88    8.27    8.27  42.829  107.597 .045020   111     24  123.7   33   17  523116 4 1  500608 53248 
  65.59485  81.31405   -3658.07 783999.83  3375030.90  4159014.74   .292 -68363200.99821  81.40304 3378688.98  1   -6.82   22.23   14.89    5.77    5.77  42.529   92.089 .038787   111     24  123.7   29   15  523013 4 3  500608 53248 
  65.58007  81.30888   -3660.71 783843.11  3375028.82  4158855.93   .292 -68363200.89820  81.39792 3378689.53  1   -6.23   30.03   14.88    8.27    8.27  42.829  107.597 .044984   111     24  123.7   33   17  522908 4 3  500608 53248 
  65.56532  81.30371   -3662.10 783685.16  3375027.99  4158697.13   .293 -68363200.79820  81.39280 3378690.09  1   -6.23   30.03   14.89    8.08    8.08  42.529  113.834 .047907   111     24  123.7   35   17  522803 4 4  500608 53248 
  65.55057  81.29854   -3662.40 783526.14  3375028.24  4158538.35   .293 -68363200.69820  81.38768 3378690.64  1   -6.82   22.23   14.89    5.31    5.31  42.529  117.454 .049410   111     24  123.7   37   15  522697 4 3  500608 53248 
  65.53585  81.29336   -3665.87 783370.29  3375025.33  4158379.59   .293 -68363200.59820  81.38256 3378691.20  1   -4.48   53.43   14.89   16.83   14.53  42.529  145.905 .061355   111     24  123.7   42   23  522591 4 1  500608 53248 
  65.52114  81.28819   -3663.71 783208.83  3375028.04  4158220.83   .293 -68363200.49819  81.37744 3378691.76  1   -7.11   18.33   14.90    4.47    4.47  42.230   90.757 .038419   111     24  123.7   29   14  522486 3 4  500608 53248 
  65.50644  81.28301   -3664.39 783050.23  3375027.93  4158062.10   .293 -68363200.39819  81.37231 3378692.31  1   -6.82   22.23   14.90    5.41    5.41  42.230  111.082 .047004   111     24  123.7   35   15  522380 3 4  500608 53248 
  65.49176  81.27784   -3663.47 782890.04  3375029.40  4157903.38   .293 -68363200.29819  81.36719 3378692.87  1   -6.23   30.03   14.91    8.27    8.27  41.930  107.597 .045836   111     24  123.7   33   17  522272 3 1  500608 53248 
  65.47710  81.27266   -3660.25 782727.57  3375033.18  4157744.67   .294 -68363200.19818  81.36206 3378693.43  1   -6.82   22.23   14.89    5.36    5.36  42.529  114.266 .047971   111     20  123.7   36   15  522164 3 1  500608 53248 
  65.46245  81.26749   -3656.13 782564.21  3375037.86  4157585.98   .294 -68363200.09818  81.35694 3378693.99  1   -6.81   22.23   14.87    5.64    5.64  43.128   98.397 .040718   111     20  123.7   31   15  522056 2 4  500608 53248 
  65.44782  81.26231   -3650.46 782399.31  3375044.08  4157427.30   .294 -68363199.99818  81.35181 3378694.55  1   -6.82   22.23   14.90    5.70    5.70  42.230   95.239 .040233   111     20  123.7   30   15  521946 2 4  500608 53248 
  65.43320  81.25713   -3644.92 782234.56  3375050.18  4157268.64   .294 -68363199.89818  81.34668 3378695.11  1   -7.11   18.33   14.89    4.33    4.33  42.529  100.321 .042064   111     20  123.7   32   14  521836 2 3  500608 53248 
  65.41860  81.25195   -3640.76 782071.20  3375054.91  4157109.99   .294 -68363199.79817  81.34155 3378695.66  1   -6.52   26.13   14.88    6.69    6.69  42.829  112.391 .046776   111     20  123.7   35   16  521727 2 4  500608 53248 
  65.40402  81.24677   -3636.37 781907.63  3375059.86  4156951.36   .295 -68363199.69817  81.33642 3378696.22  1   -6.82   22.23   14.89    5.31    5.31  42.529  117.454 .049206   111     20  123.7   37   15  521618 2 4  500608 53248 
  65.38945  81.24158   -3634.64 781746.74  3375062.14  4156792.74   .295 -68363199.59817  81.33129 3378696.79  1   -6.82   22.23   14.90    5.31    5.31  42.230  117.454 .049535   111     20  123.7   37   15  521511 1 4  500608 53248 
  65.37489  81.23640   -3635.82 781588.76  3375061.53  4156634.14   .295 -68363199.49817  81.32616 3378697.35  1   -5.65   37.83   14.89   10.74   10.74  42.529  126.329 .052881   111     20  123.7   38   19  521404 1 1  500608 53248 
  65.36035  81.23122   -3635.42 781429.24  3375062.48  4156475.55   .295 -68363199.39816  81.32103 3378697.91  1   -6.53   26.13   14.92    6.39    6.39  41.631  128.227 .054812   111     20  123.7   40   16  521299 1 4  500608 53248 
