 291.39258  81.12497   -4562.66 784094.44  3373960.94  4157098.59  2.546 -69128157.23941  81.21586 3378523.59  1   -3.02   72.93   14.90   25.83   24.40  42.230  173.177 .073475   110     20  126.0   47   28  523074 2 3  500608 53248 
 291.37537  81.11852   -4621.23 783989.28  3373902.91  4156939.74  2.541 -69128157.13940  81.20948 3378524.14  1   -2.72   76.83   14.88   29.73   28.49  42.829  169.253 .070787   110     20  126.0   44   29  523003 4 2  500608 53248 
 291.35816  81.11206   -4668.98 783873.31  3373855.71  4156780.90  2.535 -69128157.03940  81.20308 3378524.69  1   -4.48   53.43   14.93   16.98   14.71  41.331  146.441 .063446   110     20  126.0   42   23  522928 1 4  500608 53248 
 291.34097  81.10560   -4716.92 783757.54  3373808.32  4156622.08  2.529 -69128156.93940  81.19669 3378525.24  1   -4.48   53.43   14.88   15.37   12.81  42.829  176.629 .073828   110     20  126.0   52   23  522850 3 3  500608 53248 
 291.32377  81.09912   -4749.42 783626.35  3373776.37  4156463.27  2.524 -69128156.83939  81.19028 3378525.79  1   -4.48   53.43   14.91   14.70   12.00  41.930  195.191 .083307   110     20  126.0   58   23  522762 4 2  500608 53248 
 291.30658  81.09264   -4771.06 783484.29  3373755.29  4156304.48  2.518 -69128156.73939  81.18386 3378526.35  1   -5.94   33.93   14.91    8.73    8.73  41.930  146.916 .062681   110     20  126.0   45   18  522669 1 2  500608 53248 
 291.28939  81.08615   -4789.49 783339.05  3373737.41  4156145.71  2.513 -69128156.63939  81.17744 3378526.90  1   -5.35   41.73   14.89   11.27   11.27  42.529  159.297 .066981   110     24  126.0   48   20  522571 3 1  500608 53248 
 291.27223  81.07966   -4804.23 783190.14  3373723.23  4155986.95  2.507 -69128156.53939  81.17101 3378527.46  1   -5.94   33.93   14.90    8.73    8.73  42.230  146.916 .062189   110     24  126.0   45   18  522473 1 3  500608 53248 
 291.25510  81.07317   -4822.19 783044.49  3373705.82  4155828.20  2.501 -69128156.43938  81.16458 3378528.01  1   -5.06   45.63   14.90   12.75    9.51  42.230  160.894 .068081   110     24  126.0   48   21  522375 2 3  500608 53248 
 291.23797  81.06667   -4833.67 782892.36  3373694.89  4155669.47  2.496 -69128156.33938  81.15815 3378528.57  1   -5.35   41.73   14.89   11.56   11.56  42.529  149.953 .062980   110     24  126.0   45   20  522273 4 2  500608 53248 
 291.22086  81.06017   -4840.31 782735.42  3373688.81  4155510.75  2.490 -69128156.23938  81.15171 3378529.12  1   -3.90   61.23   14.91   19.63   17.70  41.930  165.489 .070470   110     24  126.0   47   25  522168 1 2  500608 53248 
 291.20377  81.05366   -4842.90 782574.43  3373686.78  4155352.05  2.485 -69128156.13937  81.14527 3378529.68  1   -4.77   49.53   14.90   15.99   13.54  42.230  132.531 .056012   110     24  126.0   38   22  522061 3 3  500608 53248 
 291.18670  81.04716   -4844.46 782412.45  3373685.78  4155193.37  2.479 -69128156.03937  81.13883 3378530.24  1   -5.94   33.93   14.90   12.97    9.80  42.230   75.382 .031846   110     24  126.0   21   18  521953 4 1  500608 53248 
 291.16963  81.04064   -4837.18 782241.64  3373693.62  4155034.70  2.473 -69128155.93937  81.13238 3378530.80  1   -4.77   49.53   14.90   14.86   12.19  42.230  150.388 .063505   110     24  126.0   44   22  521839 1 1  500608 53248 
 291.15259  81.03413   -4833.01 782073.96  3373698.35  4154876.04  2.468 -69128155.83937  81.12593 3378531.36  1   -4.48   53.43   14.89   17.69   15.52  42.529  137.753 .057735   110     24  126.0   39   23  521727 4 4  500608 53248 
 291.13558  81.02762   -4829.89 781907.38  3373702.02  4154717.40  2.462 -69128155.73937  81.11948 3378531.92  1   -4.48   53.43   14.90   19.34   17.38  42.230  124.158 .052384   110     24  126.0   34   23  521616 1 2  500608 53248 
 291.11859  81.02110   -4822.65 781736.67  3373709.83  4154558.77  2.457 -69128155.63936  81.11303 3378532.48  1   -3.89   61.23   14.89   25.45   23.99  42.529  129.892 .054393   110     22  126.0   33   25  521502 2 4  500608 53248 
 291.10162  81.01458   -4816.10 781566.69  3373716.94  4154400.16  2.451 -69128155.53936  81.10658 3378533.04  1   -4.48   53.43   14.91   18.58   16.53  41.930  129.412 .054943   110     22  126.0   36   23  521388 4 2  500608 53248 
 291.08468  81.00807   -4814.92 781402.12  3373718.68  4154241.56  2.445 -69128155.43936  81.10013 3378533.60  1   -2.72   76.83   14.89   34.73   33.67  42.529  159.218 .066617   110     22  126.0   38   29  521278 1 3  500608 53248 
 291.06777  81.00155   -4812.90 781236.72  3373721.26  4154082.98  2.440 -69128155.33935  81.09368 3378534.16  1   -5.36   41.73   14.91   16.12   13.70  41.930   92.041 .039044   110     22  126.0   25   20  521169 3 3  500608 53248 
 291.05088  80.99504   -4809.22 781069.70  3373725.51  4153924.41  2.434 -69128155.23935  81.08723 3378534.73  1   -4.48   53.43   14.89   18.26   16.17  42.529  132.142 .055241   110     22  126.0   37   23  521057 1 1  500608 53248 
 291.03402  80.98852   -4808.36 780905.53  3373726.92  4153765.86  2.429 -69128155.13935  81.08077 3378535.29  1   -5.36   41.73   14.92   12.93    9.75  41.631  119.389 .050965   110     22  126.0   35   20  520948 2 2  500608 53248 
 291.01718  80.98201   -4808.02 780741.88  3373727.83  4153607.32  2.423 -69128155.03935  81.07432 3378535.85  1   -3.60   65.13   14.89   23.55   21.97  42.529  151.494 .063278   110     22  126.0   41   26  520837 4 1  500608 53248 
 291.00037  80.97549   -4805.82 780576.41  3373730.60  4153448.80  2.417 -69128154.93934  81.06787 3378536.42  1   -2.72   76.83   14.89   31.03   29.85  42.529  165.119 .068940   110     22  126.0   42   29  520727 1 2  500608 53248 
 290.98358  80.96897   -4805.61 780412.97  3373731.37  4153290.29  2.412 -69128154.83934  81.06142 3378536.98  1   -5.36   41.73   14.91   12.02    8.51  41.930  137.592 .058243   110     22  126.0   41   20  520619 3 1  500608 53248 
 290.96682  80.96246   -4810.44 780254.58  3373727.11  4153131.79  2.406 -69128154.73934  81.05497 3378537.54  1   -5.36   41.73   14.90   12.43    9.08  42.230  128.424 .053955   110     22  126.0   38   20  520514 1 2  500608 53248 
 290.95008  80.95594   -4811.91 780092.87  3373726.20  4152973.32  2.401 -69128154.63934  81.04852 3378538.11  1   -4.77   49.53   14.89   14.86   12.19  42.529  150.388 .062712   110     22  126.0   44   22  520406 2 4  500608 53248 
 290.93337  80.94942   -4813.86 779931.65  3373724.81  4152814.85  2.395 -69128154.53933  81.04207 3378538.67  1   -5.94   33.93   14.88   11.40   11.40  42.829   85.764 .035499   110     22  126.0   25   18  520298 4 1  500608 53248 
